;caption;rating
281;chillige pizzeria laune angestellten fast partymäßig pizza mega;5.0
282;hands down best pizza town;5.0
283;geil;5.0
284;super leckere belegte pizza extrem dünn mitte dicker fluffiger rand normale deutsche sorten z.b. hawaii sucht vergeblich deutlich italienischer;5.0
285;pizzen lecker wartezeit grade stichzeiten 1std sommer schön draußen sitzen drinnen musik laut;4.0
286;gehört pizza restaurants frankfurt lecker;5.0
287;absolutely fantastic;5.0
288;pizza mozarella frische zutaten boden labbig rand reichlich teig wartezeit stolzen preis durchwachsenes produkt;3.0
289;this place just perfect best pizzas frankfurt amazing vibes;5.0
290;beste pizza deutschland kosten servierte neapolitanische pizza preis leistung;5.0
291;traditionell italienische pizza genau essen theke bestellen veganer geeignet;4.0
292;leckerste pizza stadt tolles ambiente;5.0
293;definitiv beste pizza frankfurt pizza schmeckt genau originale neapolitanische pizza vorstellt warten pizza jedes genial;5.0
294;super leckere pizza;5.0
295;super leckere pizzen stylisher trubeliger atmosphäre familär super nette super bro's;5.0
296;leckere pizza toll mittags;4.0
297;beste pizza frankfurt super liebes personal;5.0
298;pizza merkt gegessen völlegefühle sonstigen symptome liegt teig hervorragender teig hervorragender service;5.0
299;freitag abend pizzen bestellen extra paar vorher angerufen probleme wusste freitag absprachen bescheid sodass wolt bestellen meisten pizzen webseite stehen zudem kosten pizzen pizzen webseite nachbaut stressig okay solls pizzen kamen schnell geliefert sorry pizzen wärmebox eiskalt wieso einfach wärmeboxen benutzen warmen pizzen lecker wabbelig lieferung pizzen halt kalt kalte pizza halt cool;2.0
300;nice pizza wine very friendly self service three brothers doing great very perfect frankfurt;5.0
301;beste pizzeria umkreis frankfurt geschmack qualität super restaurant hohen andrang klein köstlichkeit warten schade reservieren;4.0
302;awesome pizza;5.0
303;firstly this place only accepts cash german debit cards obviously option tourists like it's again which shame because staff were really good pizzas were amazing;3.0
304;they doing best napolitan pizza frankfurt their specialty super pizza must need reservation time order pizza visit;5.0
